job title,company_name,location_name,job_skills
,,,
Python Developer,Advanced Solutions Co. -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Odoo · Git · Software Development · JavaScript · Software
,,,
Python Developer,RTX for Shipping -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · IT/Software Development · Computer Science · Django · Flask · Python · JavaScript · computer
,,,
Full Stack Python Developer,DBS -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Python
,,,
Junior Python Developer (Remote Internship – IT),TALENTKOMPASS deutschland -,"Alexandria, Egypt ",Full TimeWork From HomeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · HTML · SQL
,,,
Python Developer,Multi Level Group (MLG) -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Engineering · Git · Information Technology (IT) · OOP · PHP · Programming · Software Development
,,,
Python Automation Engineer,Expleo -,"Cairo, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Quality · Python · API · Automation · QA · Software Development
,,,
Python Developer,Sceel.io -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Python · backend · Information Technology (IT) · JSON · Computer Science · Automation · Software Development
,,,
Full stack python web developer,Micro Engineering -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Engineering · Software Development · JavaScript · Information Technology (IT) · HTML · PHP
,,,
Junior Python Developer,RDI -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · SQL · MySQL · RESTful · JavaScript · Django · Flask · Docker
,,,
"Jira Cloud Admin ""Fluent English Speakers Only""",FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Agile · AWS · Cloud · Computer Science · Docker · Information Technology (IT) · Python · Scrum · Security
,,,
Senior Data Engineer,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Engineering · Computer Science · Design · Database · Engineering · Information Technology (IT) · Programming · Python · SQL
,,,
Senior Technical Team Lead,Fintactics Ventures  -,"New Cairo, Cairo, Egypt ",Full TimeManager · 7 - 12 Yrs of Exp · Banking · IT/Software Development · Project/Program Management · Information Technology (IT) · Software Development · Technical Lead · technical · Agile · Project Management · Python
,,,
Data Engineer,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Big Data · AWS · Computer Engineering · Computer Science · Data Science · Design · Engineering
,,,
ERPNex Developer,RTX for Shipping -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Python · ERP · erpnext · JavaScript · Vue.js · Mariadb · Nginx · frappe
,,,
Open-Source Technical Lead,LINK Development -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 7 - 12 Yrs of Exp · IT/Software Development · PHP · Node.js · Python
